Seed,100,225,400,625,900,1225
0,-135.6597262,-305.7773311,-518.6840788,-832.0937556,-1171.015619,-1578.540089
1,-125.3406671,-287.6785393,-555.2643443,-820.7717968,-1154.316907,-1600.908203
2,-127.5299567,-273.6003379,-534.8270066,-847.38639,-1173.734263,-1581.075821
3,-139.0084791,-297.376266,-527.901109,-800.0422008,-1221.894908,-1606.588874
4,-125.7966941,-296.2719926,-529.7465127,-828.6071166,-1184.298819,-1599.493932
5,-137.3555679,-296.8914994,-544.8779754,-795.5393464,-1165.105213,-1577.068077
6,-142.2650029,-297.7669246,-551.6280573,-845.5352344,-1169.651209,-1630.742469
7,-135.9774638,-289.8018593,-548.3138082,-823.780702,-1201.295674,-1609.558402
8,-134.7949671,-288.557684,-495.5793174,-838.5887018,-1176.323159,-1616.369332
9,-118.495062,-304.5851332,-534.8495561,-792.9901728,-1178.682276,-1627.725929
10,-136.5540007,-300.1527808,-535.871791,-818.2129037,-1192.405723,-1635.347929
11,-135.0952794,-283.6019113,-515.4431443,-839.0904014,-1187.363053,-1593.962208
12,-115.0534121,-313.033817,-546.99569,-809.5422912,-1222.891126,-1605.5917
13,-130.8806346,-305.0058258,-492.6293893,-810.3083962,-1171.641371,-1644.841499
14,-127.3556374,-291.5643074,-531.634092,-869.5858752,-1183.446985,-1647.000594
15,-132.8817272,-307.9731373,-514.2615005,-812.5312442,-1171.064225,-1630.660476
16,-127.4570034,-303.787275,-519.9149518,-805.3675543,-1172.219275,-1620.53057
17,-139.7969458,-296.952765,-542.5526649,-841.6686452,-1152.224898,-1586.644674
18,-118.1729474,-288.0362346,-549.427427,-832.7060721,-1164.327778,-1589.040437
19,-136.5221028,-299.801531,-519.3289994,-828.6213111,-1242.022794,-1617.959906
20,-145.1873338,-294.8583304,-529.342619,-782.2798446,-1159.75574,-1613.098767
21,-131.0183145,-295.3789114,-496.4573124,-834.5416424,-1186.08849,-1639.362656
22,-123.527731,-296.4881362,-550.0703091,-816.8429605,-1150.071276,-1601.590023
23,-133.1087941,-293.9619045,-533.1157373,-830.9657452,-1183.236895,-1592.231742
24,-112.5892663,-295.8556719,-543.9562081,-817.4684733,-1199.335961,-1592.287747
25,-129.0665037,-290.214478,-496.9615008,-813.5091965,-1213.163468,-1579.549837
26,-128.4376746,-294.1727788,-516.2862281,-788.0434901,-1163.731493,-1558.067375
27,-141.8290104,-300.2020392,-532.594708,-797.0270071,-1228.383175,-1590.399687
28,-130.8880795,-298.2184197,-500.7784825,-831.7462079,-1216.874336,-1585.185202
29,-127.2428371,-298.2851101,-512.1870667,-843.2071233,-1164.70671,-1643.96444
30,-131.0313945,-277.8519141,-518.8782864,-795.8161418,-1161.840595,-1633.811539
31,-146.2956128,-278.7062924,-532.9379754,-836.988701,-1166.473029,-1575.656771
32,-125.2104342,-282.2685222,-536.0553711,-810.0090973,-1201.750851,-1661.831311
33,-141.4562171,-287.1595242,-521.8671476,-839.3555706,-1194.034956,-1644.967196
34,-134.8412918,-302.6057922,-549.4486978,-789.8780407,-1216.940773,-1622.819366
35,-130.6364061,-291.4109813,-526.6364215,-803.5192588,-1180.563884,-1603.762018
36,-134.2929135,-315.1389414,-515.1638498,-812.8329239,-1157.685581,-1559.10085
37,-146.7336814,-294.0467131,-536.7851679,-838.1229966,-1157.002464,-1628.035649
38,-120.2758137,-293.9409365,-517.7184516,-830.5894789,-1182.280594,-1600.349962
39,-135.1529006,-305.0169398,-525.2674954,-818.0853984,-1169.176322,-1608.351261
40,-121.8252981,-289.1947093,-512.3581788,-824.0040179,-1179.904471,-1576.058803
41,-129.254556,-290.831303,-525.074785,-803.3489644,-1185.949434,-1647.466035
42,-130.5293301,-280.1449537,-500.2098734,-787.577382,-1207.783452,-1613.589156
43,-122.5369062,-292.7164107,-525.0616884,-828.9053189,-1218.199125,-1582.403618
44,-135.9570946,-309.4990029,-527.1655291,-802.717957,-1189.772924,-1580.339502
45,-120.9940782,-287.8843159,-512.2099573,-821.3730103,-1195.025424,-1628.545186
46,-143.589173,-297.2097223,-538.8475566,-789.6724286,-1206.252971,-1605.666059
47,-128.1249733,-295.3439461,-510.659889,-809.4930566,-1160.891518,-1575.614972
48,-130.2378168,-298.647349,-522.5594145,-777.3481723,-1184.024822,-1617.417771
49,-112.055115,-277.7079734,-540.8959833,-831.4237437,-1173.092316,-1594.0408
50,-137.0716009,,-534.8316458,,,
51,-131.3397956,,-509.3404783,,,
52,-133.7817881,,-525.495683,,,
53,-125.995229,,-530.1884589,,,
54,-134.0925233,,-547.0015072,,,
55,-131.1728652,,-515.419746,,,
56,-123.0815452,,-504.484248,,,
57,-130.6791379,,-534.2623543,,,
58,-128.3815947,,-497.2058602,,,
59,-134.8260682,,-515.5248408,,,
60,-125.1320464,,-530.7662412,,,
61,-136.7338931,,-529.9824028,,,
62,-119.1819493,,-504.0239198,,,
63,-137.786825,,-517.90239,,,
64,-122.765672,,-530.9378247,,,
65,-128.314122,,-525.7457387,,,
66,-134.2153956,,-523.2002161,,,
67,-122.2543949,,-531.1937274,,,
68,-129.6524247,,-549.2928564,,,
69,-126.2113419,,-534.2118051,,,
70,-137.9211373,,-519.8477865,,,
71,-125.7095471,,-540.3208751,,,
72,-131.080461,,-511.4259356,,,
73,-134.3296837,,-509.9348527,,,
74,-125.3654478,,-533.6020015,,,
75,-123.3707715,,-497.5372384,,,
76,-143.016318,,-514.92239,,,
77,-124.0071399,,-516.2339172,,,
78,-139.543657,,-529.0395503,,,
79,-129.1016772,,-529.253841,,,
80,-138.5611622,,-542.8646663,,,
81,-145.4951734,,-522.4568331,,,
82,-136.678785,,-511.5429679,,,
83,-130.3954162,,-496.4388005,,,
84,-135.698383,,-524.529858,,,
85,-122.9712818,,-521.3273212,,,
86,-117.6589459,,-533.1454697,,,
87,-132.6608288,,-533.6371154,,,
88,-130.6360549,,-505.1957776,,,
89,-141.8209863,,-544.5782585,,,
90,-125.5296628,,-525.1320545,,,
91,-137.2950782,,-542.5957188,,,
92,-125.1877765,,-519.2874038,,,
93,-132.7606919,,-551.1376128,,,
94,-129.1250117,,-501.9297474,,,
95,-133.8500093,,-502.3534925,,,
96,-140.897232,,-540.1264478,,,
97,-132.939488,,-524.0001636,,,
98,-129.2076546,,-520.0537696,,,
99,-126.6828242,,-510.3697406,,,
100,-135.1215149,,,,,
101,-131.1364317,,,,,
102,-130.7561759,,,,,
103,-135.2907078,,,,,
104,-128.6860642,,,,,
105,-125.3110403,,,,,
106,-123.8358419,,,,,
107,-125.4715794,,,,,
108,-145.5975711,,,,,
109,-131.9655693,,,,,
110,-135.4197847,,,,,
111,-134.2934687,,,,,
112,-134.1546185,,,,,
113,-123.7246991,,,,,
114,-135.5519446,,,,,
115,-127.9674456,,,,,
116,-136.4912145,,,,,
117,-129.2205491,,,,,
118,-129.5967001,,,,,
119,-141.3154769,,,,,
120,-128.3467766,,,,,
121,-129.3179041,,,,,
122,-122.3019728,,,,,
123,-139.3271088,,,,,
124,-138.9292338,,,,,
125,-125.0506394,,,,,
126,-140.9741381,,,,,
127,-144.9649479,,,,,
128,-129.2212251,,,,,
129,-130.4648588,,,,,
130,-135.613702,,,,,
131,-132.9546099,,,,,
132,-128.0004156,,,,,
133,-142.8944052,,,,,
134,-128.0402065,,,,,
135,-133.5462323,,,,,
136,-130.9133378,,,,,
137,-128.9900156,,,,,
138,-138.2207158,,,,,
139,-136.528752,,,,,
140,-119.9352469,,,,,
141,-120.0695312,,,,,
142,-124.4370167,,,,,
143,-119.3499513,,,,,
144,-137.0458841,,,,,
145,-125.3764171,,,,,
146,-125.3900688,,,,,
147,-127.0882629,,,,,
148,-108.7880456,,,,,
149,-127.1733036,,,,,
150,-126.7121875,,,,,
151,-113.0947749,,,,,
152,-134.2704543,,,,,
153,-134.7127701,,,,,
154,-140.6267289,,,,,
155,-143.3318268,,,,,
156,-129.8281816,,,,,
157,-138.2785982,,,,,
158,-137.7135967,,,,,
159,-119.6231595,,,,,
160,-134.4841628,,,,,
161,-129.8734412,,,,,
162,-123.9648214,,,,,
163,-143.5422128,,,,,
164,-132.5912449,,,,,
165,-125.7329654,,,,,
166,-123.7017217,,,,,
167,-128.1823602,,,,,
168,-121.3539594,,,,,
169,-119.0690896,,,,,
170,-129.9477805,,,,,
171,-137.3084883,,,,,
172,-124.9471605,,,,,
173,-144.0102402,,,,,
174,-149.5093079,,,,,
175,-132.6266891,,,,,
176,-134.7687258,,,,,
177,-123.2068044,,,,,
178,-114.9924352,,,,,
179,-128.5665764,,,,,
180,-129.1657316,,,,,
181,-134.6061107,,,,,
182,-135.1919053,,,,,
183,-130.8573301,,,,,
184,-120.9087134,,,,,
185,-129.4039616,,,,,
186,-125.4529532,,,,,
187,-133.9291103,,,,,
188,-133.7596546,,,,,
189,-132.7461695,,,,,
190,-135.3470519,,,,,
191,-122.3624025,,,,,
192,-133.1470292,,,,,
193,-126.8869368,,,,,
194,-133.8000513,,,,,
195,-129.6632551,,,,,
196,-142.5941825,,,,,
197,-125.0159116,,,,,
198,-131.3861066,,,,,
199,-132.3476755,,,,,
200,-140.2539233,,,,,
201,-114.869841,,,,,
202,-127.7486825,,,,,
203,-137.4655944,,,,,
204,-124.0006967,,,,,
205,-151.6623266,,,,,
206,-130.6334508,,,,,
207,-127.3289146,,,,,
208,-119.6794828,,,,,
209,-129.7194224,,,,,
210,-134.3345988,,,,,
211,-123.0240699,,,,,
212,-116.5786975,,,,,
213,-126.3040118,,,,,
214,-136.3608036,,,,,
215,-120.4181604,,,,,
216,-150.0407216,,,,,
217,-136.0138832,,,,,
218,-141.2911239,,,,,
219,-119.4320774,,,,,
220,-113.6773043,,,,,
221,-133.2399839,,,,,
222,-136.9450234,,,,,
223,-132.5220888,,,,,
224,-139.4289499,,,,,
225,-140.7894898,,,,,
226,-126.2650119,,,,,
227,-135.0781574,,,,,
228,-130.9842734,,,,,
229,-132.9088913,,,,,
230,-134.3634065,,,,,
231,-135.4433761,,,,,
232,-141.5230057,,,,,
233,-133.3783309,,,,,
234,-132.3689058,,,,,
235,-131.41788,,,,,
236,-130.8109593,,,,,
237,-129.1892076,,,,,
238,-136.7730981,,,,,
239,-133.2741011,,,,,
240,-127.2680746,,,,,
241,-140.4903267,,,,,
242,-127.8879668,,,,,
243,-125.6416689,,,,,
244,-138.4505039,,,,,
245,-138.8291442,,,,,
246,-128.4992273,,,,,
247,-134.2606392,,,,,
248,-137.5567097,,,,,
249,-148.6617784,,,,,
250,-120.5230575,,,,,
251,-133.6933905,,,,,
252,-124.2903937,,,,,
253,-141.6207726,,,,,
254,-120.5400677,,,,,
255,-143.9499839,,,,,
256,-132.569561,,,,,
257,-131.5840905,,,,,
258,-141.7229528,,,,,
259,-140.750152,,,,,
260,-119.6646333,,,,,
261,-136.2237399,,,,,
262,-130.8735919,,,,,
263,-126.0437036,,,,,
264,-127.5841436,,,,,
265,-128.7050871,,,,,
266,-125.3854681,,,,,
267,-127.4439451,,,,,
268,-126.0937976,,,,,
269,-125.9151924,,,,,
270,-137.3803179,,,,,
271,-123.7328664,,,,,
272,-128.1247161,,,,,
273,-141.8946011,,,,,
274,-140.3440233,,,,,
275,-122.7815863,,,,,
276,-129.0054417,,,,,
277,-126.5364509,,,,,
278,-122.3453489,,,,,
279,-132.1087944,,,,,
280,-141.8172619,,,,,
281,-127.906439,,,,,
282,-141.104114,,,,,
283,-126.7275419,,,,,
284,-125.820949,,,,,
285,-128.5079425,,,,,
286,-125.5355426,,,,,
287,-135.8845178,,,,,
288,-137.044078,,,,,
289,-123.9337884,,,,,
290,-127.9888574,,,,,
291,-140.5467908,,,,,
292,-130.1912587,,,,,
293,-121.4467745,,,,,
294,-122.116948,,,,,
295,-126.1441806,,,,,
296,-136.9025204,,,,,
297,-124.6392968,,,,,
298,-143.3645585,,,,,
299,-144.5328215,,,,,
300,-128.9259334,,,,,
301,-138.8312543,,,,,
302,-129.0455318,,,,,
303,-134.0900538,,,,,
304,-130.7616215,,,,,
305,-118.6229589,,,,,
306,-125.1913784,,,,,
307,-126.8086011,,,,,
308,-135.5840625,,,,,
309,-123.397089,,,,,
310,-120.3908927,,,,,
311,-134.5232203,,,,,
312,-130.7120781,,,,,
313,-125.9556072,,,,,
314,-140.3399381,,,,,
315,-125.2094982,,,,,
316,-141.2840116,,,,,
317,-127.7817728,,,,,
318,-145.713251,,,,,
319,-114.5628273,,,,,
320,-144.3531765,,,,,
321,-124.2675447,,,,,
322,-117.9772252,,,,,
323,-127.4388111,,,,,
324,-125.7666582,,,,,
325,-134.1737078,,,,,
326,-123.4647961,,,,,
327,-123.8205576,,,,,
328,-137.1725982,,,,,
329,-127.6809123,,,,,
330,-147.6899757,,,,,
331,-137.1126778,,,,,
332,-124.2361972,,,,,
333,-144.78038,,,,,
334,-121.7124687,,,,,
335,-124.1726533,,,,,
336,-131.6599813,,,,,
337,-134.8358069,,,,,
338,-131.1868968,,,,,
339,-125.0112609,,,,,
340,-134.0164368,,,,,
341,-133.3392846,,,,,
342,-122.2111322,,,,,
343,-135.5330709,,,,,
344,-125.5525615,,,,,
345,-133.5797788,,,,,
346,-131.0749381,,,,,
347,-123.0306813,,,,,
348,-136.1774891,,,,,
349,-147.1674893,,,,,
350,-115.019161,,,,,
351,-126.2755284,,,,,
352,-124.2453853,,,,,
353,-131.0242122,,,,,
354,-142.2866299,,,,,
355,-134.0892008,,,,,
356,-121.6939789,,,,,
357,-121.7591716,,,,,
358,-136.4305354,,,,,
359,-132.8818877,,,,,
360,-132.6592974,,,,,
361,-121.757154,,,,,
362,-135.6355127,,,,,
363,-118.7744994,,,,,
364,-136.9519697,,,,,
365,-134.440909,,,,,
366,-121.3739477,,,,,
367,-133.2098724,,,,,
368,-120.181978,,,,,
369,-121.0438497,,,,,
370,-134.1674621,,,,,
371,-136.1825577,,,,,
372,-133.1541356,,,,,
373,-138.0874899,,,,,
374,-127.5571185,,,,,
375,-134.1499018,,,,,
376,-140.2360118,,,,,
377,-139.7935952,,,,,
378,-131.2635155,,,,,
379,-125.8998887,,,,,
380,-135.2892189,,,,,
381,-137.2803617,,,,,
382,-113.5709388,,,,,
383,-136.0811323,,,,,
384,-119.4747542,,,,,
385,-123.6236525,,,,,
386,-129.785868,,,,,
387,-114.8160202,,,,,
388,-140.3764644,,,,,
389,-122.5038841,,,,,
390,-127.1139178,,,,,
391,-128.0069689,,,,,
392,-141.2856561,,,,,
393,-123.3923602,,,,,
394,-132.1663047,,,,,
395,-133.8902583,,,,,
396,-123.7478312,,,,,
397,-122.0616143,,,,,
398,-131.7681687,,,,,
399,-141.4490413,,,,,
400,-119.4385204,,,,,
401,-136.273266,,,,,
402,-132.0750044,,,,,
403,-125.6947156,,,,,
404,-112.5027738,,,,,
405,-126.6684821,,,,,
406,-135.4239598,,,,,
407,-142.8131774,,,,,
408,-128.5162759,,,,,
409,-126.7259243,,,,,
410,-136.7073507,,,,,
411,-133.515402,,,,,
412,-147.8839654,,,,,
413,-134.2340289,,,,,
414,-140.3387224,,,,,
415,-126.4304713,,,,,
416,-134.3005577,,,,,
417,-127.2841532,,,,,
418,-136.4263915,,,,,
419,-126.8117461,,,,,
420,-124.4078662,,,,,
421,-126.2448739,,,,,
422,-126.3584554,,,,,
